,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b14,b15,name,time
117,4,0,1,0,1,0,2,0,2,0,7,0,982754437,15000,123-2011-02-21_11.20.37.rdf,2011-01-21_11.20.37
118,4,0,1,0,1,0,2,0,2,0,7,0,982755484,15000,123-2011-02-21_11.38.04.rdf,2011-01-21_11.38.04
119,4,0,1,0,1,0,5,0,0,0,7,0,984740411,15000,123-2011-03-16_11.00.11.rdf,2011-02-13_11.00.11
120,4,0,1,0,1,0,5,0,0,0,7,0,984741033,15000,123-2011-03-16_11.10.33.rdf,2011-02-13_11.10.33
121,4,0,1,0,1,0,5,0,0,0,7,0,1036747094,15000,123-2012-11-07_09.18.14.rdf,2012-10-07_09.18.14
122,4,0,1,0,1,0,5,0,0,0,7,0,1038491288,15000,123-2012-11-27_13.48.08.rdf,2012-10-27_13.48.08
123,4,0,1,0,1,0,5,0,0,0,7,0,1038491610,15000,123-2012-11-27_13.53.30.rdf,2012-10-27_13.53.30
124,4,0,1,0,1,0,5,0,0,0,7,0,1093698449,15000,123-2014-08-28_13 07 29.rdf,2014-07-28_13.07.29
125,12500,10101,-29020,-18132,370,24254,25484,-20163,255,-18227,20382,31229,3017767665,6650,124-2010-01-27_09.01.03.rdf,2075-07-17_20.47.45
126,26035,-16549,-10428,-6346,-2893,15739,-14516,22934,-22409,27595,255,23109,1481798986,-2859,124-2010-01-27_11.15.16.rdf,2026-11-14_10.49.46
127,21845,21845,21845,21845,21845,21845,21845,21845,21845,21845,21845,21845,1431655765,16469,124-2010-01-27_11.22.43.rdf,2025-04-13_02.09.25
128,4,0,1,0,1,0,5,0,0,0,7,0,968484457,15000,124-2010-09-09 НПСО.rdf,2010-08-09_07.27.37
129,4,0,1,0,1,0,2,0,2,0,7,0,999083686,15000,124-2011-08-29_11.14.46.rdf,2011-07-29_11.14.46
130,4,0,1,0,1,0,2,0,2,0,7,0,1001395019,15000,124-2011-09-25_05.16.59.rdf,2011-08-25_05.16.59
131,4,0,1,0,1,0,2,0,2,0,7,0,1008031391,15000,124-2011-12-11_00.43.11.rdf,2011-11-10_00.43.11
132,4,0,1,0,1,0,5,0,0,0,7,0,1048763738,15000,124-2013-03-26_11.15.38.rdf,2013-02-23_11.15.38
133,4,0,1,0,1,0,5,0,0,0,7,0,1049033104,15000,124-2013-03-29_14.05.04.rdf,2013-02-26_14.05.04
134,4,0,1,0,1,0,5,0,0,0,7,0,1049037100,15000,124-2013-03-29_15.11.40.rdf,2013-02-26_15.11.40
135,4,0,1,0,1,0,5,0,0,0,7,0,1130727609,15000,124-2015-10-31_03.00.09.rdf,2015-09-30_03.00.09
136,4,0,1,0,1,0,5,0,0,0,7,0,1130727632,15000,124-2015-10-31_03.00.32.rdf,2015-09-30_03.00.32
137,4,0,1,0,1,0,5,0,0,0,7,0,1130727982,15000,124-2015-10-31_03.06.22.rdf,2015-09-30_03.06.22
138,4,0,1,0,1,0,5,0,0,0,7,0,1240043205,15000,124-2019-04-18_08.26.45.rdf,2019-03-18_08.26.45
139,4,0,1,0,1,0,5,0,0,0,7,0,1243159547,15000,124-2019-05-24_10.05.47.rdf,2019-04-23_10.05.47
140,4,0,1,0,1,0,5,0,0,0,7,0,1250187418,15000,124-2019-08-13_18.16.58.rdf,2019-07-13_18.16.58
141,-7697,255,-1473,-32466,24488,255,-26161,255,-3905,-2351,17405,-3777,16740836,4191,125-2010-01-20_13.45.50.rdf,1980-06-11_18.13.56
142,32063,24413,-31093,15980,-24690,21243,15538,13341,-26288,22234,-7595,-16833,3747561153,-8199,125-2010.01.20Ввод1безСТД.rdf,2098-09-01_13.12.33
143,-17732,-6147,-19715,-21843,8418,-15133,-16569,-52,-1536,-5343,29877,21079,911344044,-18510,125-2010.01.20Ввод1СТД-1.rdf,2008-10-16_23.07.24
144,12169,255,-23777,4606,14237,30974,255,18916,-1857,1021,15043,-6296,3355508681,-110,125-2010.01.20Ввод2 без СТД.rdf,2086-03-30_21.44.41
145,4,0,1,0,1,0,5,0,0,0,7,0,1002705505,15000,125-2011-10-10_09.18.25.rdf,2011-09-09_09.18.25
146,4,0,1,0,1,0,5,0,0,0,7,0,1006667953,15000,125-2011-11-25_05.59.13.rdf,2011-10-25_05.59.13
147,4,0,1,0,1,0,5,0,0,0,7,0,1125213829,15000,125-2015-08-28_07.23.49.rdf,2015-07-28_07.23.49
148,4,0,1,0,1,0,5,0,0,0,7,0,1126815099,15000,125-2015-09-15_20.11.39.rdf,2015-08-15_20.11.39
149,4,0,1,0,1,0,5,0,0,0,7,0,1128789790,15000,125-2015-10-08_16.43.10.rdf,2015-09-07_16.43.10
